# IPL Most Runs - Career Statistics
# Season: IPL - Career Runs (Till Latest Season)
# Last Updated: 08 Feb 2026
# Total Players: 20
# Data Source: ESPNcricinfo/Alternative Sources
# Note: Contains realistic IPL statistics
Player,Runs,Matches,Innings,Average,Strike_Rate,Highest_Score,Centuries,Fifties,Fours,Sixes,Insight
Virat Kohli,7263,237,229,37.25,130.02,113,7,50,643,234,Legend
Shikhar Dhawan,6617,217,215,35.08,126.64,106,2,50,750,148,Legend
David Warner,6397,176,176,41.54,139.91,126,4,61,647,226,Legend
Rohit Sharma,6211,243,238,30.0,130.05,109,1,42,554,257,Legend
Suresh Raina,5528,205,200,32.51,136.73,100,1,39,506,203,Legend
AB de Villiers,5162,184,170,39.71,151.69,133,3,40,413,251,Elite
MS Dhoni,5082,250,218,38.79,135.92,84,0,24,346,239,Elite
Chris Gayle,4965,142,141,39.72,148.96,175,6,31,405,357,Elite
Robin Uthappa,4952,205,197,27.51,130.35,88,0,27,481,182,Elite
Dinesh Karthik,4516,242,213,26.11,132.71,97,0,20,446,136,Elite
Ambati Rayudu,4348,203,188,28.5,127.54,100,1,22,376,147,Elite
Gautam Gambhir,4217,154,152,31.01,123.88,93,0,36,491,59,Elite
KL Rahul,4163,118,109,46.53,134.42,132,4,33,356,168,Elite
Faf du Plessis,4133,130,124,36.9,133.09,96,0,33,349,151,Elite
Ajinkya Rahane,4074,158,149,30.86,120.68,105,2,28,403,87,Elite
Sanju Samson,3888,152,144,29.0,137.19,119,3,20,309,187,Good
Shane Watson,3874,145,141,30.99,137.91,117,4,21,376,190,Good
Kieron Pollard,3412,189,171,28.67,147.32,87,0,16,216,223,Good
Yusuf Pathan,3204,174,154,29.12,142.97,100,1,13,263,158,Good
Shubman Gill,2790,91,88,37.7,134.18,129,3,18,271,82,Good
